"","week","age_group","total_vaccinated","perc_doses"
"97",2021-04-25,"18-49 years",711204,0.0551723174919389
"98",2021-04-25,"50-64 years",527372,0.0862809731845636
"99",2021-04-25,"65-74 years",59722,0.0193394497314199
"100",2021-04-25,"75+ years",29791,0.0144446394682767
"101",2021-05-02,"0-17 years",82642,0.0300762332540321
"102",2021-05-02,"18-49 years",903198,0.0700664321546057
"103",2021-05-02,"50-64 years",414389,0.0677963300990157
"104",2021-05-02,"65-74 years",50020,0.0161977039544159
"105",2021-05-02,"75+ years",25072,0.0121565573746646
"106",2021-05-09,"0-17 years",95139,0.0346243163954812
"107",2021-05-09,"18-49 years",836480,0.0648907207153743
"108",2021-05-09,"50-64 years",255407,0.0417859964468152
"109",2021-05-09,"65-74 years",40362,0.0130702064575796
"110",2021-05-09,"75+ years",21016,0.0101899413603203
"111",2021-05-16,"0-17 years",73236,0.0266530700925957
"112",2021-05-16,"18-49 years",716701,0.0555987524237632
"113",2021-05-16,"50-64 years",214031,0.0350166542244665
"114",2021-05-16,"65-74 years",38075,0.0123296197134023
"115",2021-05-16,"75+ years",19693,0.00954846379942844
"116",2021-05-23,"0-17 years",42877,0.0156043979239749
"117",2021-05-23,"18-49 years",452133,0.0350746416282569
"118",2021-05-23,"50-64 years",144254,0.0236007514728996
"119",2021-05-23,"65-74 years",28706,0.00929570751130472
"120",2021-05-23,"75+ years",14894,0.00722159243531647
"121",2021-05-30,"0-17 years",183415,0.0667509537800186
"122",2021-05-30,"18-49 years",315923,0.0245080230974598
"123",2021-05-30,"50-64 years",102613,0.0167880537862981
"124",2021-05-30,"65-74 years",21712,0.00703087861372006
"125",2021-05-30,"75+ years",11414,0.00553425916857138
"126",2021-06-06,"0-17 years",276889,0.100769320073034
"127",2021-06-06,"18-49 years",293527,0.0227706323874111
"128",2021-06-06,"50-64 years",89994,0.0147235156602391
"129",2021-06-06,"65-74 years",20253,0.00655841859633716
"130",2021-06-06,"75+ years",10501,0.00509157661899142
"131",2021-06-13,"0-17 years",154219,0.0561255368481351
"132",2021-06-13,"18-49 years",253600,0.0196732579062487
"133",2021-06-13,"50-64 years",73721,0.0120611629440683
"134",2021-06-13,"65-74 years",16822,0.00544737656779655
"135",2021-06-13,"75+ years",8715,0.00422560615508144
"136",2021-06-20,"0-17 years",90006,0.0327562431967089
"137",2021-06-20,"18-49 years",181125,0.0140509417912827
"138",2021-06-20,"50-64 years",53942,0.00882520925555723
"139",2021-06-20,"65-74 years",12695,0.004110952652965
"140",2021-06-20,"75+ years",6676,0.00323696462321557
"141",2021-06-27,"0-17 years",72794,0.0264922112665958
"142",2021-06-27,"18-49 years",143754,0.0111518514079451
"143",2021-06-27,"50-64 years",44198,0.00723103701525932
"144",2021-06-27,"65-74 years",10702,0.00346557032627266
"145",2021-06-27,"75+ years",5742,0.00278409989012939
"146",2021-07-04,"0-17 years",57661,0.020984798113075
"147",2021-07-04,"18-49 years",134937,0.0104678643615752
"148",2021-07-04,"50-64 years",40578,0.006638785013014
"149",2021-07-04,"65-74 years",10633,0.00344322643237313
"150",2021-07-04,"75+ years",5602,0.00271621866675459
"151",2021-07-11,"0-17 years",52387,0.0190654102209407
"152",2021-07-11,"18-49 years",136437,0.0105842282687494
"153",2021-07-11,"50-64 years",39344,0.00643689579456905
"154",2021-07-11,"65-74 years",10321,0.00334219317300132
"155",2021-07-11,"75+ years",5405,0.00262070008814862
"156",2021-07-18,"0-17 years",47207,0.017180232124381
