"","age_group","beta_0","beta_V_1","beta_V_2","beta_V_3","beta_V_4","beta_1","beta_2","beta_3","beta_4"
"1","0-17 years",1,0.463786458436835,0.756978396396452,0.97160539468282,1,0.243154851431623,0.396870081401473,0.533780972825385,0.717748528828625
"2","18-49 years",1,0.463786458436835,0.756978396396452,0.97160539468282,1,0.243154851431623,0.396870081401473,0.533780972825385,0.717748528828625
"3","50-64 years",1,0.437313371363711,0.713769814869904,0.943240062229221,1,0.229275490710532,0.374216603641319,0.503312575323633,0.676779201340434
"4","65-74 years",1,0.35420458693569,0.578122140776913,0.777560751432974,0.980819242809707,0.185703058263131,0.303098981638523,0.407661037864252,0.548161371581026
"5","75+ years",1,0.35420458693569,0.578122140776913,0.777560751432974,0.980819242809707,0.185703058263131,0.303098981638523,0.407661037864252,0.548161371581026
